faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that win rate is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999026894569397, 'neutral': 0.0008228875230997801, 'entailment': 0.00015023451123852283}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that pressing is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992934465408325, 'neutral': 0.0005978544941172004, 'entailment': 0.0001086819393094629}}]"
"[{'claim': 'The key point is that index funds is linked to deadline number 15, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6122721433639526, 'neutral': 0.3852408230304718, 'entailment': 0.0024870000779628754}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that daily spending is linked to recommended action number 7, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6863217949867249, 'entailment': 0.2546238303184509, 'contradiction': 0.05905444547533989}}]"
"[{'claim': 'Since employee onboarding policy mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9792237281799316, 'contradiction': 0.015492570586502552, 'entailment': 0.005283805076032877}}]"
"[{'claim': 'Since record keeping mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5010876059532166, 'contradiction': 0.4656406044960022, 'entailment': 0.033271823078393936}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that recovery is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993675351142883, 'neutral': 0.0005485733272507787, 'entailment': 8.387098205275834e-05}}]"
"[{'claim': 'The key point is that habitat loss is linked to deadline number 1, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'entailment': 0.48746252059936523, 'neutral': 0.4836728572845459, 'contradiction': 0.028864635154604912}}]"
"[{'claim': 'Since employee onboarding policy mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9615271687507629, 'contradiction': 0.03192800283432007, 'entailment': 0.006544900126755238}}]"
"[{'claim': 'The key point is that API rate limiting policy is linked to threshold number 12.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6489247679710388, 'entailment': 0.2965550720691681, 'contradiction': 0.054520133882761}}]"
"[{'claim': 'The key point is that water quality workflow is linked to comparison number 12, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9848467111587524, 'contradiction': 0.014755506999790668, 'entailment': 0.00039778900099918246}}]"
"[{'claim': 'The key point is that inventory turnover is linked to recommended action number 11, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6810021996498108, 'neutral': 0.317072331905365, 'contradiction': 0.0019255143124610186}}]"
"[{'claim': 'The key point is that portion control benchmark is linked to procedure number 15, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5964874625205994, 'neutral': 0.3995400071144104, 'contradiction': 0.0039725759997963905}}]"
"[{'claim': 'The key point is that visa requirements is linked to decrease number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7053813338279724, 'contradiction': 0.2930329740047455, 'entailment': 0.0015857364051043987}}]"
"[{'claim': 'The key point is that reaction rate is linked to recommended action number 3, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6161394715309143, 'neutral': 0.38187167048454285, 'contradiction': 0.0019888358656316996}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that civil rights workflow is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.927226722240448, 'neutral': 0.07192845642566681, 'entailment': 0.0008447934524156153}}]"
"[{'claim': 'Since force and motion guidance mentions a follow-up action, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9304407238960266, 'contradiction': 0.06184083968400955, 'entailment': 0.007718385197222233}}]"
"[{'claim': 'The key point is that civil rights guidance is linked to guideline number 1, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9359952807426453, 'neutral': 0.06355854123830795, 'contradiction': 0.0004461602948140353}}]"
"[{'claim': 'The key point is that force and motion is linked to decrease number 16, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5638043284416199, 'entailment': 0.40868282318115234, 'contradiction': 0.027512867003679276}}]"
"[{'claim': 'Since civil rights mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6862103939056396, 'contradiction': 0.2971094846725464, 'entailment': 0.016680104658007622}}]"
"[{'claim': 'The key point is that statistics is linked to threshold number 8, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.46476832032203674, 'entailment': 0.4169517755508423, 'contradiction': 0.11827991157770157}}]"
"[{'claim': 'The key point is that credit score is linked to warning sign number 17, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7076177000999451, 'neutral': 0.2488972693681717, 'contradiction': 0.04348508268594742}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that monthly expenses is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9975318908691406, 'neutral': 0.0022092736326158047, 'entailment': 0.0002588030183687806}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that world war II overview is linked to increase number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7138472199440002, 'entailment': 0.2597666084766388, 'contradiction': 0.026386205106973648}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that trade routes overview is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9971455931663513, 'neutral': 0.0022912132553756237, 'entailment': 0.0005632569664157927}}]"
"[{'claim': 'The key point is that termination workflow is linked to recommended action number 12, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8194372057914734, 'neutral': 0.17806406319141388, 'contradiction': 0.0024987286888062954}}]"
"[{'claim': 'The key point is that inventory turnover overview is linked to threshold number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8747379779815674, 'contradiction': 0.07368507981300354, 'entailment': 0.051576919853687286}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that refund policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9977250695228577, 'neutral': 0.0021010166965425014, 'entailment': 0.00017394658061675727}}]"
"[{'claim': 'The key point is that exoplanets is linked to comparison number 15, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7386846542358398, 'neutral': 0.2546677589416504, 'contradiction': 0.006647556554526091}}]"
"[{'claim': 'The key point is that loan repayment guidance is linked to comparison number 12, and the passage also mentions a verification step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9272855520248413, 'neutral': 0.07189851999282837, 'contradiction': 0.0008159310091286898}}]"
"[{'claim': 'The key point is that asthma is linked to procedure number 8, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8981274366378784, 'neutral': 0.09930484741926193, 'contradiction': 0.0025676905643194914}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that recycling is linked to decrease number 10, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7754829525947571, 'neutral': 0.21758507192134857, 'contradiction': 0.006931980140507221}}]"
"[{'claim': 'The key point is that stamina is linked to procedure number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9546045064926147, 'contradiction': 0.04495744779706001, 'entailment': 0.0004379902093205601}}]"
"[{'claim': 'The key point is that reaction rate workflow is linked to deadline number 9, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.583177387714386, 'entailment': 0.3893372714519501, 'contradiction': 0.02748533897101879}}]"
"[{'claim': 'The key point is that copyright overview is linked to increase number 12, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7388240694999695, 'entailment': 0.23665186762809753, 'contradiction': 0.024524010717868805}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that overfitting is linked to deadline number 4, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.870003879070282, 'neutral': 0.12911371886730194, 'contradiction': 0.0008824088145047426}}]"
"[{'claim': 'Since anemia mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9188149571418762, 'contradiction': 0.07787434756755829, 'entailment': 0.003310725325718522}}]"
"[{'claim': 'The key point is that capital gains is linked to procedure number 13, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9173238277435303, 'contradiction': 0.08220507949590683, 'entailment': 0.0004710879293270409}}]"
"[{'claim': 'The key point is that capital gains is linked to comparison number 2.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.508812427520752, 'entailment': 0.46413305401802063, 'contradiction': 0.027054551988840103}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that monthly expenses is linked to guideline number 15, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8887926340103149, 'contradiction': 0.11040341109037399, 'entailment': 0.0008039915701374412}}]"
"[{'claim': 'The key point is that rail schedules overview is linked to warning sign number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6731038689613342, 'entailment': 0.2377816140651703, 'contradiction': 0.08911459147930145}}]"
"[{'claim': 'The key point is that world war II is linked to warning sign number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5165296792984009, 'entailment': 0.27136901021003723, 'contradiction': 0.21210132539272308}}]"
"[{'claim': 'The key point is that solar adoption policy is linked to guideline number 17, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9567438960075378, 'neutral': 0.04229987785220146, 'contradiction': 0.0009561923798173666}}]"
"[{'claim': 'The key point is that force and motion is linked to guideline number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7523193359375, 'entailment': 0.1803738921880722, 'contradiction': 0.0673067718744278}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that emergency fund is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991915822029114, 'neutral': 0.000602545915171504, 'entailment': 0.00020579298143275082}}]"
"[{'claim': 'The key point is that climate patterns is linked to warning sign number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5375539660453796, 'entailment': 0.4295555055141449, 'contradiction': 0.03289058431982994}}]"
"[{'claim': 'The key point is that copyright is linked to decrease number 13, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.874564528465271, 'neutral': 0.12459198385477066, 'contradiction': 0.0008435256313532591}}]"
